method,base_bytes,extra_bytes,total_bytes,Y_PSNR,Y_MSE,Y_MAE,Y_SSIM,Delta_E,LPIPS
Base only (JPEG q50),129968,0,129968,36.87097635833294,0.00020554284532718276,0.011320797317125653,0.9381261806184337,1.4769583168731673,0.07723818719387054
True residual JPEG90 + apply,129968,171864,301832,42.631769339664665,5.455355616156463e-05,0.005831781854087836,0.982830545850739,1.1757030356905729,0.01127106137573719
True residual JPEG95 + apply,129968,282279,412247,46.205335201368875,2.395887820877138e-05,0.003850858625773057,0.9924480212677059,1.0907264818461067,0.009433379396796227
"Latent-only + apply (zdim=8, patch=64)",129968,539,130507,37.689122996178085,0.00017025022728948234,0.01031797113292754,0.9455160669251326,1.4191035084933528,0.13786527514457703
Latent + correction JPEG90 + apply,129968,160119,290087,42.79346697027773,5.255975146844438e-05,0.005739532665124614,0.9833426277112692,1.1731453671688599,0.011227337643504143
Latent + correction JPEG95 + apply,129968,269608,399576,46.35668920088902,2.3138280408924543e-05,0.00381920271428271,0.9926608479603287,1.091043926904397,0.00918746367096901
